scope,parameter,description,value,unit,evidence_type,species,source,rationale,confidence,calibration_priority,code_location,evidence_scope,literature_value,comparison_to_literature,source_url,scope_zh,description_zh,unit_zh,evidence_type_zh,species_zh,rationale_zh,confidence_zh,calibration_priority_zh,evidence_scope_zh,literature_value_zh,comparison_to_literature_zh
mouse_pbpk,Bmax_bbb,"BBB binding, trafficking or capacity parameter",10000000,mixed; see equation,assumed,mouse-scale,"Nonnenmacher and Weber 2012, doi:10.1038/gt.2012.6; Riyad and Weber 2021, doi:10.1038/s41434-021-00243-z",BBB mechanism is represented explicitly; numerical rate is not fitted,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1038/gt.2012.6; https://doi.org/10.1038/s41434-021-00243-z,小鼠 PBPK,血脑屏障结合、转运或容量参数,混合单位，见对应方程,假设值,小鼠尺度,显式表示 BBB 机制，但数值速率尚未拟合,低,高,仅支持机制，不能直接约束数值,,
mouse_pbpk,Bmax_cns,"CNS-cell uptake, trafficking or expression parameter",30000000,mixed; see equation,assumed,mouse-scale,"Nonnenmacher and Weber 2012, doi:10.1038/gt.2012.6; Riyad and Weber 2021, doi:10.1038/s41434-021-00243-z",Transferred intracellular chain with CNS-specific exploratory values,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1038/gt.2012.6; https://doi.org/10.1038/s41434-021-00243-z,小鼠 PBPK,CNS 细胞摄取、转运或表达参数,混合单位，见对应方程,假设值,小鼠尺度,沿用胞内转运链，并采用 CNS 特异的探索性数值,低,高,仅支持机制，不能直接约束数值,,
mouse_pbpk,Bmax_pt_apical,"Kidney filtration, proximal-tubule uptake or trafficking parameter",50000000,mixed; see equation,assumed,mouse-scale,"Christensen and Birn 2002, doi:10.1038/nrm778 (mechanistic proximal-tubule endocytosis only)",Dual-entry mechanism is biologically motivated; intact-AAV rates remain provisional,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1038/nrm778,小鼠 PBPK,肾滤过、近端小管摄取或转运参数,混合单位，见对应方程,假设值,小鼠尺度,双入口机制具有生物学依据，但完整 AAV 的速率仍为暂定值,低,高,仅支持机制，不能直接约束数值,,
mouse_pbpk,Bmax_pt_bsl,"Kidney filtration, proximal-tubule uptake or trafficking parameter",20000000,mixed; see equation,assumed,mouse-scale,"Christensen and Birn 2002, doi:10.1038/nrm778 (mechanistic proximal-tubule endocytosis only)",Dual-entry mechanism is biologically motivated; intact-AAV rates remain provisional,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1038/nrm778,小鼠 PBPK,肾滤过、近端小管摄取或转运参数,混合单位，见对应方程,假设值,小鼠尺度,双入口机制具有生物学依据，但完整 AAV 的速率仍为暂定值,低,高,仅支持机制，不能直接约束数值,,
mouse_pbpk,CL_blood,Model parameter,0,see code,assumed,model,Current model structural prior; requires project-specific calibration,Retained for full auditability,low,medium,model/ode1.0.py:make_params,structural/design,,,,小鼠 PBPK,模型参数,见代码,假设值,模型,为完整审计而保留,低,中,模型结构或设计输入,,
mouse_pbpk,CO,Reference cardiac output,840,mL/h,direct/scaled,adult mouse,Brown et al. 1997; Davies and Morris 1993; Shah and Betts 2012/2013,14 mL/min reference for an unanesthetized 25 g mouse,medium,low,model/ode1.0.py:make_params,physiology-scaled,12-16 mL/min; reference mean 13.98 mL/min,updated from 25 to 840 mL/h; previous value was an effective exchange rate,https://pubmed.ncbi.nlm.nih.gov/8378254/; https://pmc.ncbi.nlm.nih.gov/articles/PMC3727051/,小鼠 PBPK,参考心输出量,mL/h,直接证据/缩放值,成年小鼠,14 mL/min reference for an unanesthetized 25 g mouse,中,低,生理学缩放证据,12-16 mL/min; reference mean 13.98 mL/min,updated from 25 to 840 mL/h; previous value was an effective exchange rate
mouse_pbpk,EC50_ab,"Cellular uptake, intracellular trafficking, immune or expression parameter",10000000000,mixed; see equation,assumed,generic mammalian cell,"Pillay et al. 2016, doi:10.1038/nature16465; Nonnenmacher and Weber 2012, doi:10.1038/gt.2012.6; Riyad and Weber 2021, doi:10.1038/s41434-021-00243-z",Mechanistic step is literature-supported; present numerical value is an exploratory prior,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1038/nature16465,小鼠 PBPK,细胞摄取、胞内转运、免疫或表达参数,混合单位，见对应方程,假设值,通用哺乳动物细胞,机制步骤有文献支持，但当前数值仍是探索性先验,低,高,仅支持机制，不能直接约束数值,,
mouse_pbpk,EC50_cns_tx,"Cellular uptake, intracellular trafficking, immune or expression parameter",200000,mixed; see equation,assumed,generic mammalian cell,"Pillay et al. 2016, doi:10.1038/nature16465; Nonnenmacher and Weber 2012, doi:10.1038/gt.2012.6; Riyad and Weber 2021, doi:10.1038/s41434-021-00243-z",Mechanistic step is literature-supported; present numerical value is an exploratory prior,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1038/nature16465,小鼠 PBPK,细胞摄取、胞内转运、免疫或表达参数,混合单位，见对应方程,假设值,通用哺乳动物细胞,机制步骤有文献支持，但当前数值仍是探索性先验,低,高,仅支持机制，不能直接约束数值,,
mouse_pbpk,EC50_kidney_tx,"Cellular uptake, intracellular trafficking, immune or expression parameter",100,mixed; see equation,assumed,generic mammalian cell,"Pillay et al. 2016, doi:10.1038/nature16465; Nonnenmacher and Weber 2012, doi:10.1038/gt.2012.6; Riyad and Weber 2021, doi:10.1038/s41434-021-00243-z",Mechanistic step is literature-supported; present numerical value is an exploratory prior,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1038/nature16465,小鼠 PBPK,细胞摄取、胞内转运、免疫或表达参数,混合单位，见对应方程,假设值,通用哺乳动物细胞,机制步骤有文献支持，但当前数值仍是探索性先验,低,高,仅支持机制，不能直接约束数值,,
mouse_pbpk,EC50_tx,"Cellular uptake, intracellular trafficking, immune or expression parameter",100,mixed; see equation,assumed,generic mammalian cell,"Pillay et al. 2016, doi:10.1038/nature16465; Nonnenmacher and Weber 2012, doi:10.1038/gt.2012.6; Riyad and Weber 2021, doi:10.1038/s41434-021-00243-z",Mechanistic step is literature-supported; present numerical value is an exploratory prior,low,high,model/ode1.0.py:make_params,mechanistic-only,,,https://doi.org/10.1038/nature16465,小鼠 PBPK,细胞摄取、胞内转运、免疫或表达参数,混合单位，见对应方程,假设值,通用哺乳动物细胞,机制步骤有文献支持，但当前数值仍是探索性先验,低,高,仅支持机制，不能直接约束数值,,
