reference_id,product_or_study,capsid_or_modality,route,dose_value,dose_unit,evidence_kind,model_use,interpretation_limit,source_url
zolgensma_iv,ZOLGENSMA (onasemnogene abeparvovec-xioi),AAV9,iv,110000000000000.0,vg/kg,marketed-product dose with serious known risks,quantitative reference,"Same route and capsid as IV AAV9, but different payload, manufacturing, age and disease. The dose is not a universal safe threshold.",https://www.fda.gov/media/126109/download
zolgensma_mouse_histology_signal,Onasemnogene abeparvovec mouse toxicology,AAV9,iv,79000000000000.0,vg/kg,lowest explicitly reported cardiac histology signal dose; not a NOAEL,quantitative reference,Neonatal-mouse product-specific signal. Directly relevant to heart and supportive for liver hazard identification; not an all-organ human threshold.,https://www.fda.gov/media/126109/download
itvisma_it,ITVISMA (onasemnogene abeparvovec-brve),AAV9,intrathecal,120000000000000.0,vg/patient,marketed-product dose with serious known risks,quantitative reference,"Same route and capsid as lumbar intrathecal AAV9, but different payload, manufacturing, population and procedure. The dose is not a universal safe threshold.",https://www.fda.gov/media/193168/download
kebilidi_intraputaminal,KEBILIDI (eladocagene exuparvovec-tneq),AAV2,intraputaminal,180000000000.0,vg/patient,marketed local-CNS product dose and procedure context,case/procedure context only,"Four stereotactic putaminal infusions totaling 0.32 mL. The current model has no intraparenchymal compartment, so this case is not used as an exposure threshold.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9d6a6401-c6b5-4f29-af11-67707d249482
sineup_gdnf_mouse,AAV9-miniSINEUP-GDNF proof of concept,AAV9,intrastriatal,7000000000.0,vg/mouse,mechanism and local tolerability proof of concept; not GLP toxicology,case/procedure context only,1 uL of 7.0e12 vg/mL AAV9; about two-fold endogenous GDNF increase for at least six months with no reported body-weight or food-intake signal. Target- and species-specific.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7000958/
itvisma_nhp_low_dose,Onasemnogene abeparvovec 12-month NHP IT toxicology,AAV9,intrathecal,12000000000000.0,vg/NHP,lowest NHP IT dose with microscopic neural findings; not a NOAEL,case/procedure context only,"Minimal-to-moderate microscopic CNS/DRG/nerve findings occurred at all tested doses, including 1.2e13 vg/NHP. No clinical correlate; CSF scaling was used for human context.",https://pmc.ncbi.nlm.nih.gov/articles/PMC9347375/
itvisma_clinical_safety,ITVISMA randomized and open-label clinical safety database,AAV9,intrathecal,120000000000000.0,vg/patient,clinical adverse-reaction frequencies at marketed dose,case/procedure context only,"At 1.2e14 vg: hepatic-enzyme increase 6/75 (8%), thrombocytopenia 3/75 (4%), sensory disturbance 2/75 (3%); two ALT values reached 20x ULN.",https://www.fda.gov/media/193168/download
spinraza_it_rna,SPINRAZA (nusinersen),none; antisense oligonucleotide,intrathecal,12.0,mg/5 mL per low-dose administration,marketed CNS RNA-drug procedure context,case/procedure context only,Useful for lumbar-puncture procedure and monitoring context; mass cannot be converted to vg.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/209531s016lbl.pdf
qalsody_it_rna,QALSODY (tofersen),none; antisense oligonucleotide,intrathecal,100.0,mg/15 mL per administration,marketed CNS RNA-drug procedure context,case/procedure context only,Useful for lumbar-puncture procedure and route-specific hazards; mass cannot be converted to vg.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/215887s000lbl.pdf
roctavian_iv,ROCTAVIAN (valoctocogene roxaparvovec-rvox),AAV5,iv,60000000000000.0,vg/kg,approved AAV5 systemic-dose context with required liver monitoring,quantitative reference,"Same capsid and route for IV AAV5, but a different liver-directed cassette, product, manufacturing process and population. Historical approved-dose context is not a NOAEL.",https://www.fda.gov/media/169937/download
aav8_hemophilia_iv,scAAV2/8-LP1-hFIXco long-term hemophilia B study,AAV8,iv,2000000000000.0,vg/kg,clinical AAV8 systemic dose with 13-year follow-up,quantitative reference,Same capsid family and systemic route for IV AAV8; small hemophilia cohort and a liver-specific cassette do not establish a general-organ safety threshold.,https://doi.org/10.1056/NEJMoa2414783
lk03_hemophilia_iv,SPK-8011 AAV-LK03 hemophilia A phase 1-2 study,AAV-LK03,iv,2000000000000.0,vg/kg,clinical LK03 systemic dose context,quantitative reference,"Same engineered capsid and route, but immune events and glucocorticoid use occurred; the dose is a clinical context rather than a no-effect threshold.",https://doi.org/10.1056/NEJMoa2104205
glybera_im,GLYBERA (alipogene tiparvovec; historical EU authorization),AAV1,intramuscular,1000000000000.0,gc/kg,human intramuscular AAV route context; authorization later withdrawn,quantitative reference,"Route-matched but cross-capsid and historical. Genome copies and vector genomes are treated as an approximate modeling bridge, not an assay-equivalent conversion.",https://www.ema.europa.eu/en/documents/all-authorised-presentations/glybera-epar-all-authorised-presentations_en.pdf
aav2_cf_aerosol,tgAAVCF phase 2 cystic-fibrosis aerosol study,AAV2,inhaled,10000000000000.0,DNase-resistant particles/administration,human route- and capsid-matched repeated aerosol dose context,quantitative reference,"Three administrations were studied 30 days apart. Particle and vg assays, cassette, nebulizer deposition and lung disease prevent direct threshold equivalence.",https://doi.org/10.1378/chest.126.2.509
aavrh10_intracerebral,AAVrh.10-SGSH-IRES-SUMF1 phase 1-2 study,AAVrh.10,intracerebral,720000000000.0,vg/patient,human same-capsid local-brain procedure context,case/procedure context only,"Twelve direct parenchymal deposits with immunosuppression are not equivalent to IT, ICM or ICV administration; retained as qualitative AAVrh.10 evidence only.",https://doi.org/10.1089/hum.2013.238
